movie_name,Directed by,Produced by,Productioncompany,Distributed by,Running time (mins),Country,Language, Budget ,Narrated by,Cinematography,Release date,Written by,Edited by,Screenplay by,Countries,Productioncompanies,,,,,,,,,,
Jungle 2 Jungle,John Pasquin,Brian Reilly,,Buena Vista Distribution,106,,English," $32,000,000.00 ",,Tony Pierce-Roberts,,Bruce A. Evans,Michael A. Stevenson,,"United States,France","Walt Disney Pictures, TF1 International",,,,,,,,,,
"Honey, We Shrunk Ourselves",Dean Cundey,Barry Bernardi,Walt Disney Productions,Walt Disney Pictures,74,United States,English," $7,000,000.00 ",,Ray Stella,18/03/1997,"Karey Kirkpatrick, Nell Scovell, Joel Hodgson",Charles Bornstien,,,,,,,,,,,,,
Hercules (1997 film),"John Musker, Ron Clements",Alice Dewey GoldstoneJohn MuskerRon Clements,,Buena Vista Distribution,93,United States,English," $85,000,000.00 ",,,13/06/1997,,Tom Finan,Irene Mecchi,,"Walt Disney Pictures, Walt Disney Feature Animation",,,,,,,,,,
George of the Jungle (film),Sam Weisman,"David Hoberman, David Hoberman",Walt Disney Productions,Buena Vista Distribution,92,United States,English," $55,000,000.00 ",,"Thomas E. Ackerman, 'Thomas E. Ackerman",16/07/1997,,Stuart Pappy,"Dana Olsen, Dana Olsen",,,,,,"1]', 'Jordan Kerner', 'David Hoberman",1]\nJordan Kerner,1]\nJon Avnet,"1]', 'Jon Avnet', 'David Hoberman",1]\nJordan Kerner,1]\nJon Avnet,1]']
Air Bud,Charles Martin Smith,"Robert Vince, William Vince",,Buena Vista Distribution,98,,English," $3,000,000.00 ",,Mike Southon,01/08/1997,Paul TamasyAaron Mendelsohn,Alison Grace,,"United States,Canada","Keystone Pictures, Keystone Pictures",,,,,,,,,,
Pooh's Grand Adventure: The Search for Christopher Robin,Karl Geurs,Gina Shay,,Walt Disney Pictures,76,,English,,David Warner,,05/08/1997,"Carter Crocker, Karl Geurs",,,Japan,"Walt Disney Television Animation, Walt Disney Television Animation",,,,,,,,,,
RocketMan (1997 film),Stuart Gillard,Roger Birnbaum,,Buena Vista Distribution,95,United States,English," $16,000,000.00 ",,Steven Poster,10/10/1997,Craig Mazin,William D. Gordean,,,"Walt Disney Pictures, Caravan Pictures, Roger Birnbaum Productions",,,,,,,,,,
Beauty and the Beast: The Enchanted Christmas,Andy Knight,Lori ForteSusan Kapigian,,Walt Disney Pictures,72,,English,,,,11/11/1997,"Flip Kobler, Cindy Marcus, Bill Motz, Bob Roth",Daniel Lee,,United States,"Walt Disney Video Premiere, Walt Disney Television Animation, Walt Disney Video PremiereWalt Disney Television Animation",,,,,,,,,,
Flubber (film),Les Mayfield,John Hughes[1,Walt Disney Productions,Buena Vista Distribution,93,United States,English," $80,000,000.00 ",,Dean Cundey,,"John Hughes, Bill Walsh","Harvey Rosenstock,Michael A. Stevenson",,,,,\nRicardo Mestres[1,", 'John Hughes",,,,,,,
Mr. Magoo (film),Stanley Tong,Ben Myron,,Buena Vista Distribution,87,United States,English," $30,000,000.00 ",,Jingle Ma,25/12/1997,Pat Proft,"Michael R. Miller,Stuart Pap,David Rawlins",,,"Walt Disney Pictures, UPA Productions",,,,,,,,,,
Beauty and the Beast: Belle's Magical World,Dale Case,Bob KlineDavid W. King,,Walt Disney Pictures,70,United States,English,,,Ninky Smedley,,,"Lee Phillips,John Cryer","Alice Brown,Richard Cray,Carter Crocker,Sheree Guitar,Chip Hand",,"Walt Disney Television Animation, Walt Disney Television Animation",,,,,,,,,,
Meet the Deedles,Steve Boyum,Dale Pollock,,Buena Vista Distribution,93,United States,English," $24,000,000.00 ",,David Hennings,27/03/1998,Jim Herzfeld,Alan Cody,,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Mulan (1998 film),"Barry Cook, Tony Bancroft",Pam Coats,,Buena Vista Distribution,87,United States,English," $90,000,000.00 ",,,,,Michael Kelly,"Chris Sanders, Philip LaZebnik",,"Walt Disney Pictures, Walt Disney Feature Animation",,,,,,,,,,
The Parent Trap (1998 film),Nancy Meyers,Charles Shyer,Walt Disney Productions,Buena Vista Distribution,128,United States,English," $15,000,000.00 ",,Dean Cundey,,,Stephen A. Rotter,"David Swift, Charles Shyer",,,,,,,,,,,,
Pocahontas II: Journey to a New World,Bradley Raymond,Leslie Hough,,Walt Disney Pictures,72,,English,,,,25/08/1998,Allen Estrin,,,"United States,Canada,Australia","Walt Disney Video Premiere, Walt Disney Television Animation",,,,,,,,,,
The Jungle Book: Mowgli's Story,Nick Marck,Mark H. Ovitz,Walt Disney Productions,Buena Vista Distribution,77,United States,English,,Fred Savage,Ronn Schmidt,29/09/1998,,Alan Baumgarten,Josh Rivera,,,,,,,,,,,,
The Lion King II: Simba's Pride,Darrell Rooney,Jeannine Roussel,,Walt Disney Pictures,82,United States,English,,,,27/10/1998,,Peter Lonsdale,"Flip Kobler,Cindy Marcus",,"Walt Disney Video Premiere, Walt Disney Television Animation, Walt Disney Animation Australia, Walt Disney Video PremiereWalt Disney Television AnimationWalt Disney Animation Australia",,,,,,,,,,
I'll Be Home for Christmas (1998 film),Arlene Sanford,"Robin French, Justis Greene, David Hoberman, Tracey Trench",,Buena Vista Distribution,86,United States,English," $30,000,000.00 ",,Hiro Narita,13/11/1998,,Anita Brandt-Burgoyne,Harris Goldberg,,"Walt Disney Pictures, Mandeville Films",,,,,,,,,,
A Bug's Life,John Lasseter,Darla K. Anderson,,Buena Vista Distribution,95,United States,English," $4,000,000.00 ",,Sharon Calahan,,,Lee Unkrich,Andrew Stanton,,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
Mighty Joe Young (1998 film),Ron Underwood,Ted Hartley,,Buena Vista Distribution,114,United States,English," $90,000,000.00 ",,"Donald Peterman, 'Oliver Wood'",25/12/1998,,Paul Hirsch,"Mark Rosenthal, Lawrence Konner",,"Walt Disney Pictures, RKO Pictures",,,,,,,,,,
My Favorite Martian (film),Donald Petrie,"Jerry Leider, Robert Shapiro, Marc Toberoff",Walt Disney Productions,Buena Vista Distribution,93,United States,English," $65,000,000.00 ",,Thomas E. Ackerman,12/02/1999,"Sherri Stoner, 'Deanna Oliver'",Malcolm Campbell,,,,,,,,,,,,,
Doug's 1st Movie,Maurice Joyce,David Campbell,,Buena Vista Distribution,83,United States,English," $5,000,000.00 ",,,26/03/1999,Ken Scarborough,Alysha CohenChristopher Gee,,,"Walt Disney Pictures, Walt Disney Television Animation, Jumbo Pictures",,,,,,,,,,
Endurance (film),Leslie Woodhead,"Terrence Malick, Max Palevsky, Edward R. Pressman",Walt Disney Productions,Buena Vista Distribution,83,,English,,,Ivan Strasburg,,Leslie Woodhead,"Saar Klein, 'Oral Norrie Ottey'",,"United States,United Kingdom,Germany",,,,,,,,,,,
Tarzan (1999 film),"Kevin Lima, Chris Buck",Bonnie Arnold,,Buena Vista Distribution,88,United States,English," $130,000,000.00 ",,,,,Gregory Perler,"Tab Murphy, Bob Tzudiker, Noni White",,"Walt Disney Pictures, Walt Disney Feature Animation",,,,,,,,,,
Inspector Gadget (film),David Kellogg,"Roger Birnbaum, Jordan Kerner",,Buena Vista Distribution,78,United States,English," $75,000,000.00 ",,Adam Greenberg,23/07/1999,,Thom Noble,"Kerry Ehrin, Zak Penn, Audrey Wells",,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Hercules: Zero to Hero,Bob Kline,"Bob Schooley, Mark McCorkle",Walt Disney Productions,Walt Disney Pictures,70,United States,English,,,,17/08/1999,,,,,,,,,,,,,,,
The Straight Story,David Lynch,"Neal Edelstein, Alain Sarde",,Buena Vista Distribution,112,,English," $10,000,000.00 ",,Freddie Francis,,Mary Sweeney,Mary Sweeney,,"United States,United Kingdom,France","Canal+, FilmFour Productions, Ciby 2000, Le Studio Canal+",,,,,,,,,,
Mickey's Once Upon a Christmas,Jun Falkenstein,Jim Ballantine,Walt Disney Productions,Walt Disney Pictures,66,United States,English,,,,09/11/1999,,Elen Orson,Charlie CohenThomas HartScott GordenTom NanceCarter CrockerRichard CrayTemple MathewsEddie Guzelian,,,,,,,,,,,,
Toy Story 2,John Lasseter,Helene PlotkinKaren Robert Jackson,,Buena Vista Distribution,92,United States,English," $90,000,000.00 ",,Sharon Calahan,,,"David Ian Salter, 'Lee Unkrich'",Andrew Stanton,,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
Fantasia 2000,"Don Hahn, Pixote Hunt, Eric Goldberg, James Algar, Francis Glebas, Paul and Gaëtan Brizzi","Roy E. Disney, Donald W. Ernst",,Buena Vista Distribution,75,United States,English," $80,000,000.00 ",,Tim Suhrstedt,,,"Jessica Ambinder-Rojas,Lois Freeman-Fox",,,"Walt Disney Pictures, Walt Disney Feature Animation",,,,,,,,,,
The Tigger Movie,Jun Falkenstein,Cheryl Abood,,Buena Vista Distribution,77,,English," $15,000,000.00 ",John Hurt,,11/02/2000,,"Makoto Arai,Robert Fisher, Jr.",Jun Falkenstein,United States,"Walt Disney Television Animation, Walt Disney Television Animation",,,,,,,,,,
An Extremely Goofy Movie,Douglas McCarthy,Lynne Southerland,,Walt Disney Pictures,79,,English,,,,,,,Scott Gorden,United States,Disney Video Premieres,,,,,,,,,,
Whispers: An Elephant's Tale,Dereck Joubert,Beverly JoubertDereck Joubert,Walt Disney Productions,Buena Vista Distribution,72,United States,English," $4,000,000.00 ",,Dereck Joubert,10/03/2000,,Nena Olwage,Holly Goldberg Sloan,,,,,,,,,,,,
Dinosaur (2000 film),Ralph Zondag,Pam Marsden,,Buena Vista Distribution,82,United States,English," $127,500,000.00 ",,"David Hardberger, S. Douglas Smith",,,H. Lee Peterson,"John Harrison, Robert Nelson Jacobs, Walon Green",,"Walt Disney Pictures, Walt Disney Feature Animation, The Secret Lab",,,,,,,,,,
Disney's The Kid,Jon Turteltaub,Hunt Lowry,,Buena Vista Distribution,104,United States,English," $65,000,000.00 ",,Peter Menzies Jr.,07/07/2000,Audrey Wells,"Peter Honess, 'David Rennie'",,,"Walt Disney Pictures, Walt Disney PicturesJunction Entertainment",,,,,,,,,,
Buzz Lightyear of Star Command: The Adventure Begins,Tad Stones,Mark McCorkleBob SchooleyTad Stones,,Buena Vista Distribution,70,United States,English,,,,08/08/2000,,John Royer,"Mark McCorkle, Bob Schooley",,"Walt Disney Pictures, Pixar Animation Studios, Walt Disney PicturesPixar Animation Studios",,,,,,,,,,
The Little Mermaid II: Return to the Sea,Jim Kammerud,David Lovegren,,Walt Disney Pictures,75,,English,,,,19/09/2000,"Elizabeth Anderson, Temple Mathews, Elise D'Haene, Eddie Guzelian",,,"Australia, Canada, United States","Walt Disney Pictures, Disney Video Premiere, Walt Disney Television Animation, Walt Disney PicturesDisney Video PremiereWalt Disney Television Animation",,,,,,,,,,
Remember the Titans,Boaz Yakin,Jerry Bruckheimer,,Buena Vista Distribution,113,United States,English," $30,000,000.00 ",,Philippe Rousselot,29/09/2000,Gregory Allen Howard,Michael Tronick,,,"Walt Disney Pictures, Jerry Bruckheimer Films",,,,,,,,,,
102 Dalmatians,Kevin Lima,Edward S. Feldman,,Buena Vista Distribution,100,United States,English," $85,000,000.00 ",,Adrian Biddle,22/11/2000,,Gregory Perler,"Kristen Buckley, Brian Regan, Bob Tzudiker, Noni White",,Walt Disney Pictures,,,,,,,,,,
The Emperor's New Groove,Mark Dindal,Randy Fullmer,,Buena Vista Distribution,78,United States,English,,,,,,Pamela Ziegenhagen-Shefland,David Reynolds,,"Walt Disney Pictures, Walt Disney Feature Animation",,,,,,,,,,
Recess: School's Out,Chuck Sheetz,Toshio Suzuki,,Buena Vista Distribution,83,United States,English," $23,000,000.00 ",,,,,Tony Mizgalski,Jonathan Greenberg,,"Walt Disney Pictures, Walt Disney Television Animation, Walt Disney Television Animation Digital Production, Paul, Joe, Sunwoo AnimationSunwoo Digital International",,,,,,,,,,
Lady and the Tramp II: Scamp's Adventure,Darrell Rooney,Cory Edwards,,Walt Disney Pictures,69,United States,English,,,,27/02/2001,,Susan Edmunson,"Bill Motz,Bob Roth",,"Walt Disney Television Animation, Walt Disney Television Animation",,,,,,,,,,
Atlantis: The Lost Empire,"Gary Trousdale, Kirk Wise",Don Hahn,,Buena Vista Distribution,96,United States,English," $90,000,000.00 ",,,,,Ellen Keneshea,Tab Murphy,,"Walt Disney Pictures, Walt Disney Feature Animation",,,,,,,,,,
The Princess Diaries (film),Garry Marshall,"Whitney Houston, Debra Martin Chase",,Buena Vista Distribution,115,United States,English," $26,000,000.00 ",,Karl Walter Lindenlaub,,,Bruce Green,Gina Wendkos,,"Walt Disney Pictures, BrownHouse Productions",,,,,,,,,,
Max Keeble's Big Move,Tim Hill,Mike Karz,,Buena Vista Distribution,86,United States,English," $25,000,000.00 ",,Arthur Albert,05/10/2001,,Tony LombardoPeck Prior,James Greer,,Walt Disney Pictures,,,,,,,,,,
"Monsters, Inc.",Pete Docter,Darla K. Anderson,,Buena Vista Distribution,92,United States,English," $115,000,000.00 ",,,,,Robert GrahamjonesJim Stewart,"Andrew Stanton, Daniel Gerson",,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
Mickey's Magical Christmas: Snowed in at the House of Mouse,Roberts GannawayTony Craig,Melinda Rediger,,Buena Vista Distribution,65,,English,,John Cleese,,06/11/2001,,Ellen Keneshea,Thomas Hart,"United States,Philippines","Walt Disney Pictures, Walt Disney Television Animation, Walt Disney PicturesWalt Disney Television Animation",,,,,,,,,,
Snow Dogs,Brian Levant,Jordan Kerner,,Buena Vista Distribution,100,United States,English," $33,000,000.00 ",,Thomas E. Ackerman,18/01/2002,"Jim Kouf, Tommy Swerdlow, Michael Goldberg",Roger Bondelli,,,"Walt Disney Pictures, The Kerner Entertainment Company",,,,,,,,,,
Return to Never Land,Robin Budd,Christopher ChaseMichelle Pappalardo-RobinsonDan Rounds,,Buena Vista Distribution,73,,English," $20,000,000.00 ",,,,,Antonio F. Rocco,Temple Mathews,United States,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Cinderella II: Dreams Come True,John Kafka,Mary ThorneMary Alice Drumm,,Walt Disney Pictures,73,United States,English,,,,26/02/2002,"Jill E. Blotevogel, Tom Rogers, Jule Selbo",Julie Ann Lau,,,"Walt Disney Pictures, Walt Disney Television Animation, Walt Disney Pictures\nWalt Disney Television Animation",,,,,,,,,,
The Hunchback of Notre Dame II,Bradley Raymond,Chris Henderson,,Walt Disney Pictures,68,United States,English,,,,,,"Colleen Halsey,Peter Lonsdale","Flip Kobler,Cindy Marcus,Jule Selbo",,"Walt Disney Pictures, Walt Disney Animation (Japan), Inc., Walt Disney Television Animation",,,,,,,,,,
The Rookie (2002 film),John Lee Hancock,"Mark Ciardi, Mark Johnson",,Buena Vista Distribution,128,United States,English," $22,000,000.00 ",,John Schwartzman,29/03/2002,Mike Rich,Eric L. Beason,,,Walt Disney Pictures,,,,,,,,,,
Lilo & Stitch,"Chris Sanders, Dean DeBlois",Clark Spencer,,Buena Vista Distribution,86,United States,English," $80,000,000.00 ",,,,,Darren T. Holmes,"Chris Sanders, Dean DeBlois",,"Walt Disney Pictures, Walt Disney Feature Animation",,,,,,,,,,
Tarzan & Jane,"Victor Cook, Steve Loter",Steve Loter,Walt Disney Productions,Walt Disney Pictures,75,United States,English,,,,23/07/2002,,John Royer,Jess Winfield,,,,,,,,,,,,
The Country Bears,Peter Hastings,"Andrew Gunn, Jeffrey Chernov",Walt Disney Productions,Buena Vista Distribution,88,United States,English," $35,000,000.00 ",,C. Mitchell Amundsen,,Mark Perez,George Bowers,,,,,,,,,,,,,
Mickey's House of Villains,Rick Calabash,Melinda Rediger,Walt Disney Productions,Buena Vista Distribution,68,United States,English,,John Cleese,,03/09/2002,"Henry Gilroy, Jymn Magon",,,,,,,,,,,,,,
Tuck Everlasting (2002 film),Jay Russell,"Marc Abraham, Thomas Bliss",,Buena Vista Distribution,96,United States,English,,,James L. Carter,11/10/2002,,Jay Cassidy,"Jeffrey Lieber, James V. Hart",,"Walt Disney Pictures, Scholastic Studios, Beacon Pictures",,,,,,,,,,
The Santa Clause 2,Michael Lembeck,"Robert Newmyer, Brian Reilly",,Buena Vista Distribution,104,United States,English," $65,000,000.00 ",,Adam Greenberg,,,David Finfer,"Don Rhymer, Cinco Paul, Ken Daurio, Ed Decter, John J. Strauss",,Walt Disney Pictures,,,,,,,,,,
Treasure Planet,"John Musker, Ron Clements",Roy Conli,,Buena Vista Distribution,95,United States,English," $140,000,000.00 ",,,,,Michael Kelly,Rob Edwards,,"Walt Disney Pictures, Walt Disney Feature Animation",,,,,,,,,,
101 Dalmatians II: Patch's London Adventure,Jim Kammerud,Carolyn BatesLeslie Hough,,Walt Disney Pictures,74,United States,English,,,,21/01/2003,,"Robert S. Bichard,Ron Price","Jim Kammerud,Brian Smith",,"Walt Disney Pictures, Walt Disney Television Animation, Walt Disney PicturesWalt Disney Television Animation",,,,,,,,,,
The Jungle Book 2,Steve Trenbirth,Mary ThorneChristopher Chase,,Buena Vista Distribution,72,,English," $20,000,000.00 ",,,14/02/2003,Evan Spiliotopoulos,"Christopher K. Gee,Peter Lonsdale",,"United States,Australia","DisneyToon Studios, DisneyToon Studios",,,,,,,,,,
Inspector Gadget 2,Alex Zamm,Charles HirschhornPeter M. Green,,Walt Disney Pictures,88,,English," $12,000,000.00 ",,Geoffrey Wharton,11/03/2003,"Alex Zamm, Ron Anderson, William Robertson",Jimmy Hill,,"United States, Australia","Walt Disney Pictures, The Kerner Entertainment Company",,,,,,,,,,
Piglet's Big Movie,Francis Glebas,Michelle Pappalardo-Robinson,,Buena Vista Distribution,75,United States,English," $46,000,000.00 ",,,,,Ivan Bilancio,"Brian Hohlfeld, A. A. Milne",,"DisneyToon Studios, DisneyToon Studios",,,,,,,,,,
Ghosts of the Abyss,James Cameron,"John Bruno, Andrew Wight",,Buena Vista Distribution,61,United States,English," $13,000,000.00 ",,"Vince Pace, D. J. Roller",,,"David C. Cook, 'John Refoua'",,,"Walden Media, Golden Village, UGC PH",,,,,,,,,,
Holes (film),Andrew Davis,Mike Medavoy,,Buena Vista Distribution,117,United States,English," $17,000,000.00 ",,Stephen St. John,18/04/2003,,"Thomas J. Nordberg,Jeffrey Wolf",Louis Sachar,,"Walt Disney Pictures, Walden Media, Phoenix Pictures, Chicago Pacific Entertainment",,,,,,,,,,
The Lizzie McGuire Movie,Jim Fall,Stan Rogow,,Buena Vista Distribution,94,United States,English," $17,000,000.00 ",,Jeremy Lasky,02/05/2003,"Susan Estelle Jansen, Ed Decter, John J. Strauss",Margie Goodspeed,,,Walt Disney Pictures,,,,,,,,,,
Atlantis: Milo's Return,"Victor Cook, Tad Stones",Tad Stones,,Walt Disney Pictures,80,United States,English,,,,20/05/2003,,John Royer,"Steve Englehart, Marty Isenberg, Henry Gilroy",,"Disneytoon Studios, Disneytoon Studios",,,,,,,,,,
Finding Nemo,Andrew Stanton,Graham Walters,,Buena Vista Distribution,100,United States,English," $94,000,000.00 ",,Sharon Calahan,,,David Ian Salter,"Bob Peterson, David Reynolds",,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,Jerry Bruckheimer,,Buena Vista Distribution,143,United States,English," $140,000,000.00 ",,Dariusz Wolski,,,"Craig Wood, 'Stephen Rivkin', 'Arthur Schmidt'","Ted Elliott, Terry Rossio",,"Walt Disney Pictures, Jerry Bruckheimer Films",,,,,,,,,,
Freaky Friday (2003 film),Mark Waters,Andrew Gunn,,Buena Vista Distribution,96,United States,English," $26,000,000.00 ",,Oliver Wood,,,Bruce Green,"Heather Hach, Leslie Dixon",,"Walt Disney Pictures, Gunn Films",,,,,,,,,,
Stitch! The Movie,Tony CraigBobs Gannaway,Jess Winfield,,Walt Disney Pictures,64,United States,English,,,,26/08/2003,Jess Winfield,Tony Mizgalski,,,"Walt Disney Television Animation, Walt Disney Television Animation",,,,,,,,,,
George of the Jungle 2,David Grossman,"Gregg Hoffman, Jordan Kerner",,Walt Disney Pictures,87,,English,,,David Burr,21/10/2003,,Alan Cody,Jordan Moffet,"United States,Australia","Walt Disney Pictures, The Kerner Entertainment Company",,,,,,,,,,
Brother Bear,"Aaron Blaise, Robert Walker",Chuck Williams,,Buena Vista Distribution,85,United States,English," $46,000,000.00 ",,,,,Tim Mertens,"Tab Murphy, David Hoselton, Steve Bencich, Ron J. Friedman",,"Walt Disney Pictures, Walt Disney Feature Animation",,,,,,,,,,
The Haunted Mansion (2003 film),Rob Minkoff,"Don Hahn, Andrew Gunn",Walt Disney Productions,Buena Vista Distribution,87,United States,English," $90,000,000.00 ",,Remi Adefarasin,26/11/2003,David Berenbaum,Priscilla Nedd-Friendly,,,,,,,,,,,,,
The Young Black Stallion,Simon Wincer,"Fred Roos, Frank Marshall",,Buena Vista Distribution,50,United States,English,,,Reed Smoot,25/12/2003,,Bud Smith,Jeanne Rosenberg,,"Walt Disney Pictures, The Kennedy/Marshall Company",,,,,,,,,,
Teacher's Pet (2004 film),Timothy Björklund,Stephen Swofford,,Buena Vista Distribution,74,United States,English," $10,000,000.00 ",,,16/01/2004,"Bill Steinkellner, 'Cheri Steinkellner'",,,,"Walt Disney Pictures, Walt Disney Television Animation, Toon City Animation",,,,,,,,,,
Miracle (2004 film),Gavin OConnor,"Mark Ciardi, Ross Greenburg, Justis Greene, Greg OConnor",,Buena Vista Distribution,136,United States,English," $28,000,000.00 ",,Dan Stoloff,06/02/2004,"Eric Guggenheim, 'Mike Rich'",John Gilroy,,,Walt Disney Pictures,,,,,,,,,,
The Lion King 1%C2%BD,Bradley Raymond,George A. Mendoza,DisneyToon Studios,Walt Disney Pictures,78,United States,English,,,,,,Joyce Arrastia,Tom Rogers,,,,,,,,,,,,
Confessions of a Teenage Drama Queen,Sara Sugarman,"Robert Shapiro, Jerry Leider",Walt Disney Productions,Buena Vista Distribution,85,United States,English," $15,000,000.00 ",,Stephen H. Burum,20/02/2004,,Anita Brandt-Burgoyne,Gail Parent,,,,,,,,,,,,
Springtime with Roo,"Elliot M. Bour, Saul Andrew Blinkoff",John A. Smith,,Walt Disney Pictures,65,United States,English,,David Ogden Stiers,,09/03/2004,Tom Rogers,,,,"DisneyToon Studios, DisneyToon Studios",,,,,,,,,,
Home on the Range (2004 film),Will Finn,Alice Dewey Goldstone,,Buena Vista Distribution,76,United States,English," $110,000,000.00 ",,,,"Will Finn, John Sanford",H. Lee Peterson,,,"Walt Disney Pictures, Walt Disney Feature Animation",,,,,,,,,,
Sacred Planet,Jon Long[2,Jon LongKaren Fernandez Long,,Buena Vista Distribution,40,,English,,Robert Redford,William Reeve,22/04/2004,"Karen Fernandez Long, Jon Long",Jon Long,,Canada,Allied Films,,,,,,,,,,
Around the World in 80 Days (2004 film),Frank Coraci,Hal Lieberman,,Buena Vista Distribution,120,United States,English," $110,000,000.00 ",,Phil Meheux,16/06/2004,,Tom Lewis,David Titcher,,Walden Media,,,,,,,,,,
America's Heart and Soul,Louis Schwartzberg,Louis Schwartzberg,,Buena Vista Distribution,84,United States,English,,,Louis Schwartzberg,02/07/2004,,Brian FunckTom McGah,,,"Walt Disney Pictures, Blacklight Films",,,,,,,,,,
The Princess Diaries 2: Royal Engagement,Garry Marshall,"Whitney Houston, Debra Martin Chase",,Buena Vista Distribution,113,United States,English," $45,000,000.00 ",,Charles Minsky,11/08/2004,,Bruce Green,Shonda Rhimes,,"Walt Disney Pictures, ShondaLand, Martin Chase Productions",,,,,,,,,,
"Mickey, Donald, Goofy: The Three Musketeers",Donovan Cook,Margot Pipkin,,Walt Disney Pictures,67,United States,English,,,,17/08/2004,,Bret Marnell,"Evan Spiliotopoulos, David M. Evans",,"DisneyToon Studios, DisneyToon Studios",,,,,,,,,,
The Incredibles,Brad Bird,John Walker,,Buena Vista Distribution,115,United States,English," $92,000,000.00 ",,"Patrick Lin, Janet Lucroy",,Brad Bird,Stephen Schaffer,,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Mickey's Twice Upon a Christmas,Matthew OCallaghan,Pam Marsden,DisneyToon Studios,Walt Disney Pictures,67,United States,English,,,,09/11/2004,,Kirk Demorest,Peggy Holmes,,,,,,,,,,,,
National Treasure (film),Jon Turteltaub,Jerry Bruckheimer,,Buena Vista Distribution,131,United States,English," $100,000,000.00 ",,Caleb Deschanel,19/11/2004,,William Goldenberg,"Jim Kouf, Cormac WibberleyMarianne Wibberley",,"Walt Disney Pictures, Jerry Bruckheimer Films, Saturn Films",,,,,,,,,,
Aliens of the Deep,"James Cameron, James Cameron",Andrew Wight,,Buena Vista Distribution,100,United States,English,,,"James Cameron, Vince Pace",28/01/2005,,"Matthew Kregor,Fiona Wight",,,"Walt Disney Pictures, Walden Media",,,,,,,,,,
Mulan II,Darrell Rooney,Jennifer Blohm,,Walt Disney Pictures,79,United States,English,,,,,,Pam Ziegenhagen,Roger S. H. Schulman,,"Walt Disney Pictures, DisneyToon Studios, Walt Disney Animation Japan",,,,,,,,,,
Pooh's Heffalump Movie,Frank Nissen,Jessica Koplos-Miller,,Buena Vista Distribution,68,United States,English," $20,000,000.00 ",,,,,Robert Fisher Jr.Nancy FrazenAnthony F. Rocco,"Brian Hohlfeld, Evan Spiliotopoulos",,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
The Pacifier,Adam Shankman,"Roger Birnbaum, Gary Barber, Jonathan Glickman",,Buena Vista Distribution,95,United States,English," $56,000,000.00 ",,Peter James,04/03/2005,"Thomas Lennon, Robert Ben Garant",Christopher Greenbury,,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Ice Princess,Tim Fywell,Bridget Johnson,,Buena Vista Distribution,97,United States,English," $25,000,000.00 ",,David Hennings,18/03/2005,,Janice Hampton,Hadley Davis,,Walt Disney Pictures,,,,,,,,,,
Tarzan II,Brian Smith,Jim Kammerud,,Walt Disney Pictures,72,United States,English,,,,14/06/2005,,"Ron Price,John Royer","Bob Tzudiker, Noni White, Jim Kammerud",,"DisneyToon Studios, DisneyToon Studios",,,,,,,,,,
Herbie: Fully Loaded,Angela Robinson,Robert Simonds,,Buena Vista Distribution,100,United States,English," $50,000,000.00 ",,Greg Gardiner,,,Wendy Greene Bricmont,"Thomas Lennon, Robert Ben Garant, Alfred Gough, Miles Millar",,Walt Disney Pictures,,,,,,,,,,
Sky High (2005 film),Mike Mitchell,Andrew Gunn,,Buena Vista Distribution,100,United States,English," $35,000,000.00 ",,Shelly Johnson,29/07/2005,"Bob Schooley, 'Mark McCorkle'",Peter Amundson,,,"Walt Disney Pictures, Gunn Films",,,,,,,,,,
Valiant (film),Gary Chapman,John H. Williams,,United Artists,76,,," $35,000,000.00 ",,,,,Jim Stewart,Jordan KatzGeorge WebsterGeorge Melrod,"United Kingdom,United States","Vanguard Animation, Ealing Studios, UK Film Council, Odyssey Entertainment",,,,,,,,,,
Lilo & Stitch 2: Stitch Has a Glitch,Tony Leondis,Christopher Chase,,Walt Disney Pictures,68,United States,English,,,,30/08/2005,"Tony Leondis, Alexa Junge",William J. Caparella,,,"Disneytoon Studios, Disneytoon Studios",,,,,,,,,,
Pooh's Heffalump Halloween Movie,"Elliot M. Bour, Saul Andrew Blinkoff",John A. Smith,,Walt Disney Pictures,67,United States,English,,David Ogden Stiers,,13/09/2005,"Evan Spiliotopoulos, 'Brian Hohlfeld'",Art Noda,,,"DisneyToon Studios, DisneyToon Studios",,,,,,,,,,
The Greatest Game Ever Played,Bill Paxton,"David Blocker, Larry Brezner",Walt Disney Productions,Buena Vista Distribution,120,United States,English," $25,000,000.00 ",,Shane Hurlbut,30/09/2005,,Elliot Graham,Mark Frost,,,,,,,,,,,,
